Arquivo,Metodo,Ocorrencias,Tempo_ms
MobyDick-217452.txt,SerialCPU,533,202
MobyDick-217452.txt,SerialCPU,533,121
MobyDick-217452.txt,SerialCPU,533,76
MobyDick-217452.txt,ParallelCPU_Cores_1,533,59
MobyDick-217452.txt,ParallelCPU_Cores_1,533,94
MobyDick-217452.txt,ParallelCPU_Cores_1,533,31
MobyDick-217452.txt,ParallelCPU_Cores_4,533,201
MobyDick-217452.txt,ParallelCPU_Cores_4,533,27
MobyDick-217452.txt,ParallelCPU_Cores_4,533,86
MobyDick-217452.txt,ParallelCPU_Cores_8,533,41
MobyDick-217452.txt,ParallelCPU_Cores_8,533,61
MobyDick-217452.txt,ParallelCPU_Cores_8,533,27
MobyDick-217452.txt,ParallelGPU,1334,19
MobyDick-217452.txt,ParallelGPU,1334,30
MobyDick-217452.txt,ParallelGPU,1334,6
DonQuixote-388208.txt,SerialCPU,0,90
DonQuixote-388208.txt,SerialCPU,0,78
DonQuixote-388208.txt,SerialCPU,0,55
DonQuixote-388208.txt,ParallelCPU_Cores_1,0,117
DonQuixote-388208.txt,ParallelCPU_Cores_1,0,109
DonQuixote-388208.txt,ParallelCPU_Cores_1,0,56
DonQuixote-388208.txt,ParallelCPU_Cores_4,0,57
DonQuixote-388208.txt,ParallelCPU_Cores_4,0,93
DonQuixote-388208.txt,ParallelCPU_Cores_4,0,48
DonQuixote-388208.txt,ParallelCPU_Cores_8,0,90
DonQuixote-388208.txt,ParallelCPU_Cores_8,0,66
DonQuixote-388208.txt,ParallelCPU_Cores_8,0,59
DonQuixote-388208.txt,ParallelGPU,0,6
DonQuixote-388208.txt,ParallelGPU,0,11
DonQuixote-388208.txt,ParallelGPU,0,7
Dracula-165307.txt,SerialCPU,0,148
Dracula-165307.txt,SerialCPU,0,24
Dracula-165307.txt,SerialCPU,0,22
Dracula-165307.txt,ParallelCPU_Cores_1,0,79
Dracula-165307.txt,ParallelCPU_Cores_1,0,33
Dracula-165307.txt,ParallelCPU_Cores_1,0,21
Dracula-165307.txt,ParallelCPU_Cores_4,0,62
Dracula-165307.txt,ParallelCPU_Cores_4,0,95
Dracula-165307.txt,ParallelCPU_Cores_4,0,20
Dracula-165307.txt,ParallelCPU_Cores_8,0,28
Dracula-165307.txt,ParallelCPU_Cores_8,0,24
Dracula-165307.txt,ParallelCPU_Cores_8,0,19
Dracula-165307.txt,ParallelGPU,1,7
Dracula-165307.txt,ParallelGPU,1,7
Dracula-165307.txt,ParallelGPU,1,8
